feeder,tag,start,end,event,event_id,time_diff_pre,JID,year,visit_duration,perch,site,position,day,time,hour,rings,sex,partnerID,box,motherID,fatherID,age,position_year,pre_JID,pre_start,pre_end,this_start,this_end,pre_event_id,next_JID,next_start,next_end,time_diff_next,next_event_id,self_follow,parent,age_24,JID_position,JID_position_year,dual_juv,dual_juv_parent,visit_no,day_ringed,motherID_position_year,fatherID_position_year,mother_position_first,father_position_first,mother_days_before,father_days_before,motherID_year,mother_visit_no_total,fatherID_year,father_visit_no_total,mother_feeder_use,father_feeder_use,parent_feeder_use,pre_age24,pre_age,pre_JID_position_year,pre_first_day,pre_days_before,juv_juv,pre_dual_event_key,day_ringed_z
Z5.1,01148A974D,19/07/2023 09:07,19/07/2023 09:07,68999,Z5.1 2023-07-19 09:07:21.427 J5379,693.8109999,J5379,2023,21.0009999275208s,primary,Z,Z5,200,07:21.4,9,GZBRZM,NA,NA,Z10,J42,J1351,1,Z5_2023,J899,19/07/2023 08:54,19/07/2023 08:55,19/07/2023 09:07,19/07/2023 09:07,Z5.1 2023-07-19 08:54:55.630 J899,J5234,19/07/2023 09:07,19/07/2023 09:07,0,Z5.1 2023-07-19 09:07:42.428 J5234,not self,0,2,J5379_Z5,J5379_Z5_2023,1,1,27,154,J42_Z5_2023,J1351_Z5_2023,143,138,57,62,J42_2023,NA,J1351_2023,NA,2,2,4,11,10,J899_Z5_2023,138,62,no_juv_juv,solo_event,0.401895253
Y3.1,01148A649A,29/06/2023 08:32,29/06/2023 08:32,25541,Y3.1 2023-06-29 08:32:20.921 J5388,363.421,J5388,2023,32.4560000896454s,primary,Y,Y3,180,32:20.9,8,BBRZM,NA,NA,Y32,J5123,J5124,1,Y3_2023,J446,29/06/2023 08:25,29/06/2023 08:26,29/06/2023 08:32,29/06/2023 08:32,Y3.1 2023-06-29 08:25:52.281 J446,J1046,29/06/2023 08:32,29/06/2023 08:32,0,Y3.1 2023-06-29 08:32:53.378 J1046,not self,0,2,J5388_Y3,J5388_Y3_2023,0,0,13,154,J5123_Y3_2023,J5124_Y3_2023,NA,NA,NA,NA,J5123_2023,NA,J5124_2023,NA,0,0,0,13,12,J446_Y3_2023,123,57,no_juv_juv,solo_event,0.401895253
Y2.1,01148A7B4F,07/07/2023 08:55,07/07/2023 08:55,20120,Y2.1 2023-07-07 08:55:27.404 J5389,8.447000027,J5389,2023,0s,primary,Y,Y2,188,55:27.4,8,RORZM,NA,NA,Y08,J1182,J3692,1,Y2_2023,J1182,07/07/2023 08:54,07/07/2023 08:55,07/07/2023 08:55,07/07/2023 08:55,Y2.1 2023-07-07 08:54:38.428 J1182,J1182,07/07/2023 08:57,07/07/2023 08:57,122.408,Y2.1 2023-07-07 08:57:29.812 J1182,not self,1,2,J5389_Y2,J5389_Y2_2023,1,2,110,155,J1182_Y2_2023,J3692_Y2_2023,143,NA,45,NA,J1182_2023,NA,J3692_2023,NA,2,0,2,10,9,J1182_Y2_2023,143,45,no_juv_juv,solo_event,0.688320602
Z5.1,01148B3AA6,18/07/2023 08:21,18/07/2023 08:21,67969,Z5.1 2023-07-18 08:21:48.552 J5401,10.64400005,J5401,2023,0s,primary,Z,Z5,199,21:48.6,8,BVRZM,NA,NA,Z23,J2500,J2168,1,Z5_2023,J5575,18/07/2023 08:21,18/07/2023 08:21,18/07/2023 08:21,18/07/2023 08:21,Z5.1 2023-07-18 08:21:37.908 J5575,J5575,18/07/2023 08:21,18/07/2023 08:21,6.887000084,Z5.1 2023-07-18 08:21:55.440 J5575,not self,0,2,J5401_Z5,J5401_Z5_2023,0,0,1,157,J2500_Z5_2023,J2168_Z5_2023,NA,143,NA,56,J2500_2023,NA,J2168_2023,NA,0,2,2,2,1,J5575_Z5_2023,199,0,juv_juv,solo_event,1.261171299
Z5.1,01148B223A,11/07/2023 13:36,11/07/2023 13:36,65891,Z5.1 2023-07-11 13:36:48.204 J5428,1.208999872,J5428,2023,2.05000019073486s,primary,Z,Z5,192,36:48.2,13,WVRZM,NA,NA,Z27,J1222,J899,1,Z5_2023,J899,11/07/2023 13:36,11/07/2023 13:36,11/07/2023 13:36,11/07/2023 13:36,Z5.1 2023-07-11 13:36:40.536 J899,J899,11/07/2023 13:36,11/07/2023 13:36,0.244999886,Z5.1 2023-07-11 13:36:50.500 J899,not self,1,2,J5428_Z5,J5428_Z5_2023,1,2,56,161,J1222_Z5_2023,J899_Z5_2023,141,138,51,54,J1222_2023,NA,J899_2023,NA,2,2,4,11,10,J899_Z5_2023,138,54,no_juv_juv,solo_event,2.406872692
Z2.1,01148ADE8D,19/07/2023 07:43,19/07/2023 07:44,31358,Z2.1 2023-07-19 07:43:56.690 J5456,49.54400015,J5456,2023,32.4730000495911s,primary,Z,Z2,200,43:56.7,7,RGRZM,NA,NA,NA,GRMX,RXMGZ,1,Z2_2023,J5103,19/07/2023 07:42,19/07/2023 07:43,19/07/2023 07:43,19/07/2023 07:44,Z2.1 2023-07-19 07:42:03.210 J5103,J5293,19/07/2023 07:47,19/07/2023 07:49,184.507,Z2.1 2023-07-19 07:47:33.671 J5293,not self,0,2,J5456_Z2,J5456_Z2_2023,0,0,149,144,GRMX_Z2_2023,RXMGZ_Z2_2023,NA,NA,NA,NA,GRMX_2023,NA,RXMGZ_2023,NA,0,0,0,2,1,J5103_Z2_2023,187,13,juv_juv,solo_event,-2.462358231
Z5.1,01148A8516,20/07/2023 17:12,20/07/2023 17:12,69850,Z5.1 2023-07-20 17:12:19.632 J5457,215.204,J5457,2023,6.27600002288818s,primary,Z,Z5,201,12:19.6,17,GGRZM,NA,NA,NA,GRMX,RXMGZ,1,Z5_2023,J5500,20/07/2023 17:08,20/07/2023 17:08,20/07/2023 17:12,20/07/2023 17:12,Z5.1 2023-07-20 17:08:40.269 J5500,J5457,20/07/2023 17:14,20/07/2023 17:14,119.4110003,Z5.1 2023-07-20 17:14:25.320 J5457,not self,0,2,J5457_Z5,J5457_Z5_2023,0,0,2,144,GRMX_Z5_2023,RXMGZ_Z5_2023,NA,NA,NA,NA,GRMX_2023,NA,RXMGZ_2023,NA,0,0,0,2,1,J5500_Z5_2023,201,0,juv_juv,solo_event,-2.462358231
Z2.1,01148A9190,19/07/2023 15:37,19/07/2023 15:38,31585,Z2.1 2023-07-19 15:37:55.335 J5465,924.003,J5465,2023,8.77899980545044s,primary,Z,Z2,200,37:55.3,15,YGRZM,NA,NA,NA,J1392,J1152,1,Z2_2023,J5316,19/07/2023 15:22,19/07/2023 15:22,19/07/2023 15:37,19/07/2023 15:38,Z2.1 2023-07-19 15:22:07.814 J5316,J5465,19/07/2023 15:38,19/07/2023 15:38,22.77800012,Z2.1 2023-07-19 15:38:26.891 J5465,not self,0,2,J5465_Z2,J5465_Z2_2023,0,0,2,146,J1392_Z2_2023,J1152_Z2_2023,139,NA,61,NA,J1392_2023,NA,J1152_2023,NA,2,0,2,2,1,J5316_Z2_2023,197,3,juv_juv,solo_event,-1.889507534
Z5.1,01148A9190,18/07/2023 09:39,18/07/2023 09:39,68048,Z5.1 2023-07-18 09:39:22.518 J5465,270.5220001,J5465,2023,2.05099987983704s,primary,Z,Z5,199,39:22.5,9,YGRZM,NA,NA,NA,J1392,J1152,1,Z5_2023,J899,18/07/2023 09:34,18/07/2023 09:34,18/07/2023 09:39,18/07/2023 09:39,Z5.1 2023-07-18 09:34:47.773 J899,J5465,18/07/2023 09:40,18/07/2023 09:40,39.40400004,Z5.1 2023-07-18 09:40:03.973 J5465,not self,0,2,J5465_Z5,J5465_Z5_2023,0,0,8,146,J1392_Z5_2023,J1152_Z5_2023,NA,NA,NA,NA,J1392_2023,NA,J1152_2023,NA,0,0,0,11,10,J899_Z5_2023,138,61,no_juv_juv,solo_event,-1.889507534
Y2.1,01148AB71F,22/06/2023 06:05,22/06/2023 06:06,6597,Y2.1 2023-06-22 06:05:46.253 J5472,108.444,J5472,2023,70.5460000038147s (~1.18 minutes),primary,Y,Y2,173,05:46.3,6,RZGRZM,NA,NA,NA,NA,J3049,1,Y2_2023,J4111,22/06/2023 06:02,22/06/2023 06:03,22/06/2023 06:05,22/06/2023 06:06,Y2.1 2023-06-22 06:02:39.590 J4111,J4214,22/06/2023 06:19,22/06/2023 06:19,764.8170002,Y2.1 2023-06-22 06:19:41.616 J4214,not self,0,2,J5472_Y2,J5472_Y2_2023,0,0,6,150,NA_Y2_2023,J3049_Y2_2023,NA,NA,NA,NA,NA_2023,NA,J3049_2023,NA,0,0,0,4,3,J4111_Y2_2023,143,30,no_juv_juv,solo_event,-0.74380614
